x,result
-3.9420000000000064,-5.645357592840096
-3.9410000000000065,-5.608428245217123
-3.9400000000000066,-5.571798534153773
-3.9390000000000067,-5.535465607326551
-3.938000000000007,-5.499426642935877
-3.937000000000007,-5.463678849343599
-3.936000000000007,-5.428219464714875
-3.935000000000007,-5.3930457566651935
-3.9340000000000073,-5.358155021911566
-3.9330000000000074,-5.3235445859286195
-3.9320000000000075,-5.2892118026089046
-3.9310000000000076,-5.255154053927827
-3.9300000000000077,-5.221368749629137
-3.929000000000008,-5.187853326832539
-3.928000000000008,-5.1546052498107695
-3.927000000000008,-5.121622009604855
-3.926000000000008,-5.088901123726949
-3.9250000000000083,-5.056440135850218
-3.9240000000000084,-5.024236615502967
-3.9230000000000085,-4.99228815781094
-3.9220000000000086,-4.960592383021946
-3.9210000000000087,-4.92914693647729
-3.920000000000009,-4.8979494881441505
-3.919000000000009,-4.866997732373036
-3.918000000000009,-4.836289387614609
-3.917000000000009,-4.805822196140253
-3.9160000000000093,-4.775593923766026
-3.9150000000000094,-4.7456023595803
-3.9140000000000095,-4.715845315674751
-3.9130000000000096,-4.68632062687889
-3.9120000000000097,-4.657026150497849
-3.91100000000001,-4.627959766053519
-3.91000000000001,-4.599119375029065
-3.90900000000001,-4.57050290061659
-3.90800000000001,-4.542108287467912
-3.9070000000000102,-4.513933501448782
-3.9060000000000104,-4.485976529395781
-3.9050000000000105,-4.45823537887669
-3.9040000000000106,-4.4307080779535175
-3.9030000000000107,-4.403392674948873
-3.902000000000011,-4.3762872382149025
-3.901000000000011,-4.349389855905415
-3.900000000000011,-4.322698635750705
-3.899000000000011,-4.2962117048352475
-3.8980000000000112,-4.269927209378105
-3.8970000000000113,-4.243843314516258
-3.8960000000000115,-4.217958204090375
-3.8950000000000116,-4.192270080433441
-3.8940000000000117,-4.166777164162
-3.893000000000012,-4.141477693969867
-3.892000000000012,-4.11636992642455
-3.891000000000012,-4.091452135766119
-3.890000000000012,-4.06672261370854
-3.8890000000000122,-4.042179669243533
-3.8880000000000123,-4.0178216284468276
-3.8870000000000124,-3.993646834286757
-3.8860000000000126,-3.969653646435328
-3.8850000000000127,-3.9458404410814976
-3.8840000000000128,-3.9222056107467944
-3.883000000000013,-3.898747564103223
-3.882000000000013,-3.8754647257933534
-3.881000000000013,-3.852355536252701
-3.880000000000013,-3.829418451534171
-3.8790000000000133,-3.806651943134689
-3.8780000000000134,-3.7840544978240636
-3.8770000000000135,-3.7616246174756895
-3.8760000000000137,-3.739360818899575
-3.8750000000000138,-3.7172616336772393
-3.874000000000014,-3.695325607998652
-3.873000000000014,-3.6735513025011812
-3.872000000000014,-3.6519372921104747
-3.871000000000014,-3.630482165883261
-3.8700000000000143,-3.6091845268520766
-3.8690000000000144,-3.5880429918718466
-3.8680000000000145,-3.567056191468316
-3.8670000000000146,-3.546222769688339
