x,result
0.001,9.596854596918611E11
0.002,2.6980153036752112E11
0.003,1.2006550004947731E11
0.004,6.5270266711542076E10
0.005,3.9784762850525185E10
0.006,2.6134664775661957E10
0.007,1.810367182118388E10
0.008,1.3049300541149437E10
0.009000000000000001,9.702251767239954E9
0.010000000000000002,7.395635521009231E9
0.011000000000000003,5.754089430782325E9
0.012000000000000004,4.554462733090468E9
0.013000000000000005,3.658048240895832E9
0.014000000000000005,2.9753727042281013E9
0.015000000000000006,2.4468843690025134E9
0.016000000000000007,2.0318676814505577E9
0.017000000000000008,1.701829358739369E9
0.01800000000000001,1.4364183761317956E9
0.01900000000000001,1.2208347768776586E9
0.02000000000000001,1.044141361151238E9
0.02100000000000001,8.981383846718371E8
0.022000000000000013,7.76598128942693E8
0.023000000000000013,6.747346817854143E8
0.024000000000000014,5.888305274900008E8
0.025000000000000015,5.159696032634236E8
0.026000000000000016,4.5384383479708797E8
0.027000000000000017,4.006111510908626E8
0.028000000000000018,3.54790073280835E8
0.02900000000000002,3.1518061469606787E8
0.03000000000000002,2.808043355423189E8
0.03100000000000002,2.5085849546128446E8
0.03200000000000002,2.2468068811581263E8
0.03300000000000002,2.0172133950132003E8
0.03400000000000002,1.815221643993908E8
0.035000000000000024,1.636991693073658E8
0.036000000000000025,1.4792915382612318E8
0.037000000000000026,1.3393892463261202E8
0.03800000000000003,1.2149662519848943E8
0.03900000000000003,1.1040472804203156E8
0.04000000000000003,1.004943408369258E8
0.04100000000000003,9.162055705661137E7
0.04200000000000003,8.365864117673306E7
0.04300000000000003,7.650088553747313E7
0.04400000000000003,7.005400806640217E7
0.04500000000000003,6.423699037530464E7
0.046000000000000034,5.8979273829094954E7
0.047000000000000035,5.421924932264642E7
0.048000000000000036,4.990298752508243E7
0.04900000000000004,4.598316905941824E7
0.05000000000000004,4.241817886706744E7
0.05100000000000004,3.917133792431384E7
0.05200000000000004,3.621024931139624E7
0.05300000000000004,3.3506239860030327E7
0.05400000000000004,3.1033882545089535E7
0.05500000000000004,2.877058615332726E7
0.05600000000000004,2.6696242629750524E7
0.057000000000000044,2.4792922509760663E7
0.058000000000000045,2.3044611819535255E7
0.059000000000000045,2.1436984038637653E7
0.060000000000000046,1.995720186733807E7
0.06100000000000005,1.859374486778081E7
0.06200000000000005,1.7336259029484283E7
0.06300000000000004,1.6175425309016446E7
0.06400000000000004,1.5102844510471582E7
0.06500000000000004,1.4110936273362936E7
0.06600000000000004,1.319285034926681E7
0.06700000000000005,1.2342388371117415E7
0.06800000000000005,1.1553934917925896E7
0.06900000000000005,1.0822396659612728E7
0.07000000000000005,1.0143148412077818E7
0.07100000000000005,9511985.37816657
0.07200000000000005,8925080.744251808
0.07300000000000005,8378947.985253793
0.07400000000000005,7870407.307010541
0.07500000000000005,7396555.737215776
0.07600000000000005,6954740.390484934
0.07700000000000005,6542534.638541668
0.07800000000000006,6157716.714857623
0.07900000000000006,5798250.579194431
0.08000000000000006,5462268.712945939
0.08100000000000006,5148056.718928354
0.08200000000000006,4854039.421673314
0.08300000000000006,4578768.353949887
0.08400000000000006,4320910.518531014
0.08500000000000006,4079238.2062020684
