x,result
-2.0,-2.402997961722396
-1.999,-2.4082613119436735
-1.9980000000000002,-2.413550188537432
-1.9970000000000003,-2.4188647706650124
-1.9960000000000004,-2.4242052391746145
-1.9950000000000006,-2.4295717766211795
-1.9940000000000007,-2.434964567286554
-1.9930000000000008,-2.4403837971999356
-1.9920000000000009,-2.4458296541586177
-1.991000000000001,-2.4513023277490245
-1.990000000000001,-2.456802009368045
-1.9890000000000012,-2.462328892244685
-1.9880000000000013,-2.467883171462017
-1.9870000000000014,-2.473465043979451
-1.9860000000000015,-2.4790747086553337
-1.9850000000000017,-2.4847123662698625
-1.9840000000000018,-2.4903782195483455
-1.9830000000000019,-2.4960724731847894
-1.982000000000002,-2.501795333865838
-1.981000000000002,-2.5075470102950597
-1.9800000000000022,-2.513327713217587
-1.9790000000000023,-2.5191376554451246
-1.9780000000000024,-2.524977051881324
-1.9770000000000025,-2.5308461195475243
-1.9760000000000026,-2.5367450776088907
-1.9750000000000028,-2.5426741474009273
-1.9740000000000029,-2.5486335524563892
-1.973000000000003,-2.5546235185325963
-1.972000000000003,-2.5606442736391557
-1.9710000000000032,-2.566696048066098
-1.9700000000000033,-2.572779074412441
-1.9690000000000034,-2.5788935876151746
-1.9680000000000035,-2.5850398249786966
-1.9670000000000036,-2.5912180262046793
-1.9660000000000037,-2.5974284334224063
-1.9650000000000039,-2.6036712912195523
-1.964000000000004,-2.6099468466734517
-1.963000000000004,-2.6162553493828296
-1.9620000000000042,-2.62259705150003
-1.9610000000000043,-2.628972207763733
-1.9600000000000044,-2.6353810755321816
-1.9590000000000045,-2.6418239148169165
-1.9580000000000046,-2.648300988317041
-1.9570000000000047,-2.654812561454009
-1.9560000000000048,-2.6613589024069615
-1.955000000000005,-2.667940282148618
-1.954000000000005,-2.6745569744817157
-1.9530000000000052,-2.68120925607604
-1.9520000000000053,-2.6878974065060213
-1.9510000000000054,-2.694621708288933
-1.9500000000000055,-2.701382446923696
-1.9490000000000056,-2.708179910930292
-1.9480000000000057,-2.7150143918898073
