x,result
-3.141592653589793,-1.0000000000000437
-3.1405926535897932,-0.9999995000000845
-3.1395926535897933,-0.9999980000007094
-3.1385926535897934,-0.9999955000034172
-3.1375926535897936,-0.999992000010708
-3.1365926535897937,-0.9999875000260825
-3.1355926535897938,-0.9999820000540403
-3.134592653589794,-0.9999755001000814
-3.133592653589794,-0.9999680001707059
-3.132592653589794,-0.9999595002734133
-3.131592653589794,-0.9999500004167039
-3.1305926535897943,-0.9999395006100773
-3.1295926535897944,-0.9999280008640336
-3.1285926535897945,-0.9999155011900722
-3.1275926535897947,-0.999902001600693
-3.1265926535897948,-0.9998875021093954
-3.125592653589795,-0.9998720027306792
-3.124592653589795,-0.9998555034800436
-3.123592653589795,-0.9998380043739877
-3.122592653589795,-0.999819505430011
-3.1215926535897953,-0.9998000066666118
-3.1205926535897954,-0.9997795081032895
-3.1195926535897955,-0.9997580097605427
-3.1185926535897956,-0.999735511659869
-3.1175926535897958,-0.9997120138237671
-3.116592653589796,-0.9996875162757348
-3.115592653589796,-0.9996620190402693
-3.114592653589796,-0.9996355221428682
-3.113592653589796,-0.9996080256100284
-3.1125926535897963,-0.9995795294692462
-3.1115926535897964,-0.9995500337490177
-3.1105926535897965,-0.999519538478839
-3.1095926535897966,-0.9994880436892049
-3.1085926535897968,-0.9994555494116104
-3.107592653589797,-0.9994220556785498
-3.106592653589797,-0.9993875625235171
-3.105592653589797,-0.9993520699810048
-3.104592653589797,-0.9993155780865058
-3.1035926535897973,-0.9992780868765123
-3.1025926535897974,-0.999239596388515
-3.1015926535897975,-0.9992001066610049
-3.1005926535897976,-0.9991596177334708
-3.0995926535897977,-0.9991181296464028
-3.098592653589798,-0.9990756424412881
-3.097592653589798,-0.9990321561606145
-3.096592653589798,-0.9989876708478675
-3.095592653589798,-0.9989421865475334
-3.0945926535897983,-0.9988957033050959
-3.0935926535897984,-0.9988482211670381
-3.0925926535897985,-0.9987997401808425
-3.0915926535897986,-0.99875026039499
