x,result
-4.0,-8.416160784099324
-3.999,-8.355697059319553
-3.998,-8.29576613769761
-3.9970000000000003,-8.23636256836631
-3.9960000000000004,-8.177480963174716
-3.9950000000000006,-8.119115995885888
-3.9940000000000007,-8.061262401385921
-3.9930000000000008,-8.003914974903998
-3.992000000000001,-7.947068571243558
-3.991000000000001,-7.890718104024252
-3.990000000000001,-7.83485854493439
-3.989000000000001,-7.779484922994062
-3.9880000000000013,-7.724592323828395
-3.9870000000000014,-7.670175888951068
-3.9860000000000015,-7.61623081505781
-3.9850000000000017,-7.562752353329669
-3.9840000000000018,-7.50973580874604
-3.983000000000002,-7.457176539407301
-3.982000000000002,-7.405069955866666
-3.981000000000002,-7.353411520471538
-3.980000000000002,-7.302196746713768
-3.9790000000000023,-7.251421198588939
-3.9780000000000024,-7.201080489964719
-3.9770000000000025,-7.151170283957512
-3.9760000000000026,-7.10168629231807
-3.9750000000000028,-7.052624274825388
-3.974000000000003,-7.00398003868894
-3.973000000000003,-6.955749437959021
-3.972000000000003,-6.9079283729454115
-3.971000000000003,-6.860512789643751
-3.9700000000000033,-6.813498679169813
-3.9690000000000034,-6.7668820772016005
-3.9680000000000035,-6.7206590634289745
-3.9670000000000036,-6.674825761010695
-3.9660000000000037,-6.62937833603894
-3.965000000000004,-6.584312997011117
-3.964000000000004,-6.539625994308754
-3.963000000000004,-6.495313619683478
-3.962000000000004,-6.451372205749882
-3.9610000000000043,-6.407798125485454
-3.9600000000000044,-6.364587791736962
-3.9590000000000045,-6.321737656733687
-3.9580000000000046,-6.279244211607125
-3.9570000000000047,-6.237103985917184
-3.956000000000005,-6.195313547184651
-3.955000000000005,-6.1538695004300905
-3.954000000000005,-6.112768487718749
-3.953000000000005,-6.0720071877115736
-3.9520000000000053,-6.031582315222341
-3.9510000000000054,-5.991490620780564
-3.9500000000000055,-5.951728890200267
-3.9490000000000056,-5.912293944154468
-3.9480000000000057,-5.873182637755411
-3.947000000000006,-5.834391860140185
-3.946000000000006,-5.795918534062098
-3.945000000000006,-5.75775961548714
-3.944000000000006,-5.71991209319605
-3.9430000000000063,-5.6823729883914735
-3.9420000000000064,-5.645139354310416
-3.9410000000000065,-5.608208275841646
-3.9400000000000066,-5.571576869148335
-3.9390000000000067,-5.535242281295454
-3.938000000000007,-5.499201689882153
-3.937000000000007,-5.463452302679035
-3.936000000000007,-5.427991357269946
-3.935000000000007,-5.3928161206987495
-3.9340000000000073,-5.357923889120414
-3.9330000000000074,-5.323311987456909
-3.9320000000000075,-5.288977769057344
